Retailer,Retailer ID,Invoice Date,Beverages,Days to Deliver,Delivery Company,Units Sold,Total Sales,Operating Profit,Price per Unit,Operating Margin (%),State,Region,City
Walmart,1185732,2022-01-14,Coca-Cola,25,USPS,12000,6000.0,3000.0,0.5,50.0,Ontario,Central,Ottawa
Walmart,1185732,2022-01-14,Diet Coke,34,FedEx,10000,5000.0,1500.0,0.5,30.0,Ontario,Central,Toronto
Walmart,1185732,2022-01-14,Sprite,48,UPS,10000,4000.0,1400.0,0.4,35.0,Ontario,Central,Brampton
Walmart,1185732,2022-01-14,Fanta,20,USPS,8500,3825.0,1339.0,0.45,35.0,Ontario,Central,Brampton
Walmart,1185732,2022-01-14,Powerade,26,USPS,9000,5400.0,1620.0,0.6,30.0,Ontario,Central,Ottawa
Walmart,1185732,2022-01-14,Dasani Water,43,DHL,10000,5000.0,1250.0,0.5,25.0,Ontario,Central,Toronto
Walmart,1185732,2022-02-12,Coca-Cola,19,FedEx,12500,6250.0,3125.0,0.5,50.0,Ontario,Central,Hamilton
Walmart,1185732,2022-02-12,Diet Coke,41,FedEx,9000,4500.0,1350.0,0.5,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-02-12,Sprite,34,USPS,9500,3800.0,1330.0,0.4,35.0,Ontario,Central,Mississauga
Walmart,1185732,2022-02-12,Fanta,42,UPS,8250,3713.0,1299.0,0.45,35.0,Ontario,Central,Hamilton
Walmart,1185732,2022-02-12,Powerade,37,UPS,9000,5400.0,1620.0,0.6,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-02-12,Dasani Water,59,UPS,10000,5000.0,1250.0,0.5,25.0,Ontario,Central,Toronto
Walmart,1185732,2022-03-10,Coca-Cola,27,UPS,12200,6100.0,3050.0,0.5,50.0,Ontario,Central,Brampton
Walmart,1185732,2022-03-10,Diet Coke,44,FedEx,9250,4625.0,1388.0,0.5,30.0,Ontario,Central,Toronto
Walmart,1185732,2022-03-10,Sprite,44,DHL,9500,3800.0,1330.0,0.4,35.0,Ontario,Central,Ottawa
Walmart,1185732,2022-03-10,Fanta,36,DHL,8000,3600.0,1260.0,0.45,35.0,Ontario,Central,Windsor
Walmart,1185732,2022-03-10,Powerade,37,DHL,8500,5100.0,1530.0,0.6,30.0,Ontario,Central,Toronto
Walmart,1185732,2022-03-10,Dasani Water,46,USPS,9500,4750.0,1188.0,0.5,25.0,Ontario,Central,Toronto
Walmart,1185732,2022-04-11,Coca-Cola,56,FedEx,12000,6000.0,3000.0,0.5,50.0,Ontario,Central,Mississauga
Walmart,1185732,2022-04-11,Diet Coke,24,DHL,9000,4500.0,1350.0,0.5,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-04-11,Sprite,29,FedEx,9000,3600.0,1260.0,0.4,35.0,Ontario,Central,Toronto
Walmart,1185732,2022-04-11,Fanta,38,USPS,8250,3713.0,1299.0,0.45,35.0,Ontario,Central,Mississauga
Walmart,1185732,2022-04-11,Powerade,16,FedEx,8250,4950.0,1485.0,0.6,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-04-11,Dasani Water,32,DHL,9500,4750.0,1188.0,0.5,25.0,Ontario,Central,Brampton
Walmart,1185732,2022-05-10,Coca-Cola,18,USPS,12200,7320.0,3660.0,0.6,50.0,Ontario,Central,Ottawa
Walmart,1185732,2022-05-10,Diet Coke,39,DHL,9250,5088.0,1526.0,0.55,30.0,Ontario,Central,Windsor
Walmart,1185732,2022-05-10,Sprite,16,UPS,9000,4500.0,1575.0,0.5,35.0,Ontario,Central,Windsor
Walmart,1185732,2022-05-10,Fanta,22,FedEx,8500,4250.0,1488.0,0.5,35.0,Ontario,Central,Ottawa
Walmart,1185732,2022-05-10,Powerade,24,DHL,8750,5250.0,1575.0,0.6,30.0,Ontario,Central,Windsor
Walmart,1185732,2022-05-10,Dasani Water,20,FedEx,10000,6500.0,1625.0,0.65,25.0,Ontario,Central,Mississauga
Walmart,1185732,2022-06-12,Coca-Cola,18,UPS,12500,7500.0,3750.0,0.6,50.0,Ontario,Central,Windsor
Walmart,1185732,2022-06-12,Diet Coke,36,USPS,10000,5500.0,1650.0,0.55,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-06-12,Sprite,58,UPS,9250,4625.0,1619.0,0.5,35.0,Ontario,Central,Mississauga
Walmart,1185732,2022-06-12,Fanta,51,DHL,9000,4500.0,1575.0,0.5,35.0,Ontario,Central,Ottawa
Walmart,1185732,2022-06-12,Powerade,37,FedEx,9000,5400.0,1620.0,0.6,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-06-12,Dasani Water,16,DHL,10500,6825.0,1706.0,0.65,25.0,Ontario,Central,Mississauga
Walmart,1185732,2022-07-10,Coca-Cola,44,FedEx,12750,7650.0,3825.0,0.6,50.0,Ontario,Central,Windsor
Walmart,1185732,2022-07-10,Diet Coke,32,DHL,10250,5638.0,1691.0,0.55,30.0,Ontario,Central,Ottawa
Walmart,1185732,2022-07-10,Sprite,43,DHL,9500,4750.0,1663.0,0.5,35.0,Ontario,Central,Ottawa
Walmart,1185732,2022-07-10,Fanta,25,DHL,9000,4500.0,1575.0,0.5,35.0,Ontario,Central,Toronto
Walmart,1185732,2022-07-10,Powerade,55,USPS,9250,5550.0,1665.0,0.6,30.0,Ontario,Central,Brampton
Walmart,1185732,2022-07-10,Dasani Water,19,UPS,11000,7150.0,1788.0,0.65,25.0,Ontario,Central,Hamilton
Walmart,1185732,2022-08-11,Coca-Cola,52,FedEx,12500,7500.0,3750.0,0.6,50.0,Ontario,Central,Hamilton
Walmart,1185732,2022-08-11,Diet Coke,18,USPS,10250,5638.0,1691.0,0.55,30.0,Ontario,Central,Brampton
Walmart,1185732,2022-08-11,Sprite,33,FedEx,9500,4750.0,1663.0,0.5,35.0,Ontario,Central,Ottawa
Walmart,1185732,2022-08-11,Fanta,19,USPS,9250,4625.0,1619.0,0.5,35.0,Ontario,Central,Toronto
Walmart,1185732,2022-08-11,Powerade,60,FedEx,9000,5400.0,1620.0,0.6,30.0,Ontario,Central,Brampton
Walmart,1185732,2022-08-11,Dasani Water,21,USPS,10750,6988.0,1747.0,0.65,25.0,Ontario,Central,Mississauga
Walmart,1185732,2022-09-10,Coca-Cola,15,DHL,12000,7200.0,3600.0,0.6,50.0,Ontario,Central,Windsor
Walmart,1185732,2022-09-10,Diet Coke,35,FedEx,10000,5500.0,1650.0,0.55,30.0,Ontario,Central,Windsor
Walmart,1185732,2022-09-10,Sprite,48,DHL,9250,4625.0,1619.0,0.5,35.0,Ontario,Central,Windsor
Walmart,1185732,2022-09-10,Fanta,24,USPS,9000,4500.0,1575.0,0.5,35.0,Ontario,Central,Toronto
Walmart,1185732,2022-09-10,Powerade,55,DHL,9000,5400.0,1620.0,0.6,30.0,Ontario,Central,Ottawa
Walmart,1185732,2022-09-10,Dasani Water,17,UPS,10000,6500.0,1625.0,0.65,25.0,Ontario,Central,Toronto
Walmart,1185732,2022-10-12,Coca-Cola,55,FedEx,11750,7638.0,3819.0,0.65,50.0,Ontario,Central,Windsor
Walmart,1185732,2022-10-12,Diet Coke,54,FedEx,10000,5500.0,1650.0,0.55,30.0,Ontario,Central,Ottawa
Walmart,1185732,2022-10-12,Sprite,30,FedEx,9000,4950.0,1733.0,0.55,35.0,Ontario,Central,Toronto
Walmart,1185732,2022-10-12,Fanta,55,UPS,8750,4813.0,1684.0,0.55,35.0,Ontario,Central,Ottawa
Walmart,1185732,2022-10-12,Powerade,25,USPS,8750,5688.0,1706.0,0.65,30.0,Ontario,Central,Hamilton
Walmart,1185732,2022-10-12,Dasani Water,48,USPS,10000,7000.0,1750.0,0.7,25.0,Ontario,Central,Ottawa
Walmart,1185732,2022-11-11,Coca-Cola,25,USPS,11500,7475.0,3738.0,0.65,50.0,Ontario,Central,Hamilton
Walmart,1185732,2022-11-11,Diet Coke,44,DHL,9750,5363.0,1609.0,0.55,30.0,Ontario,Central,Windsor
Walmart,1185732,2022-11-11,Sprite,35,USPS,9200,5060.0,1771.0,0.55,35.0,Ontario,Central,Mississauga
Walmart,1185732,2022-11-11,Fanta,27,FedEx,9000,4950.0,1733.0,0.55,35.0,Ontario,Central,Windsor
Walmart,1185732,2022-11-11,Powerade,17,FedEx,8750,5688.0,1706.0,0.65,30.0,Ontario,Central,Mississauga
Walmart,1185732,2022-11-11,Dasani Water,19,DHL,9750,6825.0,1706.0,0.7,25.0,Ontario,Central,Windsor
Walmart,1185732,2022-12-10,Coca-Cola,55,DHL,12000,7800.0,3900.0,0.65,50.0,Ontario,Central,Toronto
Walmart,1185732,2022-12-10,Diet Coke,23,FedEx,10000,5500.0,1650.0,0.55,30.0,Ontario,Central,Ottawa
Walmart,1185732,2022-12-10,Sprite,42,FedEx,9500,5225.0,1829.0,0.55,35.0,Ontario,Central,Brampton
Walmart,1185732,2022-12-10,Fanta,47,UPS,9000,4950.0,1733.0,0.55,35.0,Ontario,Central,Hamilton
Walmart,1185732,2022-12-10,Powerade,26,USPS,9000,5850.0,1755.0,0.65,30.0,Ontario,Central,Toronto
Walmart,1185732,2022-12-10,Dasani Water,45,UPS,10000,7000.0,1750.0,0.7,25.0,Ontario,Central,Brampton
Costco,1197831,2022-01-02,Coca-Cola,30,UPS,9000,2250.0,788.0,0.25,35.0,Ontario,Central,Ottawa
Costco,1197831,2022-01-02,Diet Coke,28,USPS,9000,3150.0,1103.0,0.35,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-01-02,Sprite,16,FedEx,7000,2450.0,858.0,0.35,35.0,Ontario,Central,Brampton
Costco,1197831,2022-01-02,Fanta,38,USPS,7000,2450.0,1103.0,0.35,45.0,Ontario,Central,Mississauga
Costco,1197831,2022-01-02,Powerade,42,FedEx,5500,2200.0,660.0,0.4,30.0,Ontario,Central,Mississauga
Costco,1197831,2022-01-02,Dasani Water,19,DHL,7000,2450.0,1225.0,0.35,50.0,Ontario,Central,Mississauga
Costco,1197831,2022-02-01,Coca-Cola,21,UPS,8500,2125.0,744.0,0.25,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-02-01,Diet Coke,32,UPS,8500,2975.0,1041.0,0.35,35.0,Ontario,Central,Toronto
Costco,1197831,2022-02-01,Sprite,31,USPS,6750,2363.0,827.0,0.35,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-02-01,Fanta,43,USPS,6250,2188.0,984.0,0.35,45.0,Ontario,Central,Mississauga
Costco,1197831,2022-02-01,Powerade,45,DHL,5000,2000.0,600.0,0.4,30.0,Ontario,Central,Hamilton
Costco,1197831,2022-02-01,Dasani Water,19,DHL,7000,2450.0,1225.0,0.35,50.0,Ontario,Central,Brampton
Costco,1197831,2022-03-03,Coca-Cola,29,DHL,8750,2625.0,919.0,0.3,35.0,Ontario,Central,Windsor
Costco,1197831,2022-03-03,Diet Coke,50,FedEx,8750,3500.0,1225.0,0.4,35.0,Ontario,Central,Toronto
Costco,1197831,2022-03-03,Sprite,32,USPS,7000,2450.0,858.0,0.35,35.0,Ontario,Central,Brampton
Costco,1197831,2022-03-03,Fanta,32,USPS,6000,2400.0,1080.0,0.4,45.0,Ontario,Central,Ottawa
Costco,1197831,2022-03-03,Powerade,50,DHL,5000,2250.0,675.0,0.45,30.0,Ontario,Central,Windsor
Costco,1197831,2022-03-03,Dasani Water,19,UPS,6500,2600.0,1300.0,0.4,50.0,Ontario,Central,Hamilton
